男人=男人，男人，女人，女人，人 PERSON
油船 [~BUS]
高管 [~BUS]
旅游业 [~BUS]
旅游办公室 [~BUS]
交易者 [~BUS]
运输公司 [~BUS]
大亨 [~BUS]
侍者 [~BUS]
女服务员 [~BUS]
大主教 [~CHR]
重玄武岩 [~CHR]
圣公会教徒 [~CHRPRO]
大主教辖区 [~CHR]
大祭司 [~CHRCTH]
主教 [~CHR]
天主教主教 [~CHRCTH]
天主教传教士 [~CHRCTH]
天主教修道院 [~CHRCTH]
天主教僧侣 [~CHRCTH]
天主教神父 [~CHRCTH]
天主教圣徒 [~CHRCTH]
基督教的 [~CHR]
基督教牧师 [~CHR]
基督教神职人员 [~CHRCTH]
基督教传教士 [~CHR]
基督教修道院 [~CHR]
基督教僧侣 [~CHR]
基督教牧师 [~CHR]
教区 [~CHR]
僧侣 [~CHRCTH]
大祭司 [~CHRCTH]
褐铁矿 [~CHRMAR]
卫理公会教堂 [~CHRPRO]
先驱 [~CHRCTH]
新教传教士 [~CHRPRO]
一神论者 [~RELCHR]
抗药药 [~COP]
防暴警察 [~COP]
武装边境巡逻队 [~COP]
武警部队 [~COP]
武装防暴警察 [~COP]
边境巡逻 [~COP]
边境巡逻员 [~COP]
边防巡逻警察 [~COP]
边境巡逻队 [~COP]
中央监狱管理局 [~COP]
中央监狱 [~COP]
警员 [~COP]
惩教所 [~COP]
禁毒专家 [~COP]
禁毒专家 [~COP]
禁毒官员 [~COP]
刑事调查员 [~COP]
刑事警察 [~COP]
副的 [~COP]
侦探 [~COP]
毒品执法 [~COP]
联邦警察 [~COP]
宪兵队 [~COP]
国家警察局长 [~COP]
凶杀侦探 [~COP]
调查机构 [~COP]
狱警 [~COP]
执法官 [~COP]
执法 [~COP]
执法机构 [~COP]
执法人员 [~COP]
执法机关 [~COP]
执法人员 [~COP]
执法人员 [~COP]
地方执法部门 [~COP]
麻醉品官员 [~COP]
国家警察 [~COP]
国家警察局长 [~COP]
国家安全部队 [~MIL]警方 [~COP]
警察 [~COP]
警长 [~COP]
警察局长 [~COP]
警务专员 [~COP]
警察局长 [~COP]
警务处副处长 [~COP]
警区 [~COP]
警察部队 [~COP]
警官 [~COP]
警官 [~COP]
警务人员 [~COP]
警察岗位 [~COP]
监狱 [~COP]
监狱部 [~COP]
监狱 [~COP]
公安机关 [~COP]
公安局 [~COP]
防暴警察 [~COP]
安全检查 [~COP]
安全部队 [~COP]
保安员 [~COP]
安全官员 [~COP]
警长 [~COP]
副警长 [~COP]
州监狱 [~COP]
州骑警 [~COP]
外展肌 [~CRM]
武装强盗 [~CRM]
装甲步兵 [~CRM]
军火商 [~CRM]
纵火犯 [~CRM]
攻击者 [~CRM]
强盗 [~CRM]
勒索者 [~CRM]
布兰科克 [~CRM]
强盗 [~CRM]
窃贼 [~CRM]
劫车者 [~CRM]
卡特尔 [~CRM]
偷牛贼 [~CRM]
康曼 [~CRM]
走私者 [~CRM]
罪犯 [~CRM]
伪造者 [~CRM]
犯罪辛迪加 [~CRM]
罪犯 [~CRM]
骗子 [~CRM]
罪魁祸首 [~CRM]
皮夹 [~CRM]
毒品贩子 [~CRM]
贩毒团伙 [~CRM]
毒枭 [~CRM]
毒枭 [~CRM]
毒骡 [~CRM]
贩毒小贩 [~CRM]
药物推销员 [~CRM]
毒品流窜者 [~CRM]
毒品辛迪加 [~CRM]
毒品贩子 [~CRM]
贩毒恐怖分子 [~CRM]
勒索者 [~CRM]
勒索者 [~CRM]
重罪犯 [~CRM]
伪造者 [~CRM]
帮派 [~CRM]
黑社会 [~CRM]
黑帮 [~CRM]
歹徒 [~CRM]
高鸟 [~CRM]
枪手 [~CRM]
滞留人 [~CRM]
闯祸者 [~CRM]
人口贩子 [~CRM]
非法移民 [~CRM]
非法移民 [~CRM]
非法药物工业 [~CRM]
监狱鸟 [~CRM]
囚鸟 [~CRM]
绑架者 [~CRM]
绑架者 [~CRM]
杀手 [~CRM]
窃贼 [~CRM]
盗窃犯 [~CRM]
违法者 [~CRM]
法律犯 [~CRM]
玛菲亚 [~CRM]
黑手党 [~CRM]
黑手党老板 [~CRM]
黑手党 [~CRM]
马力因子 [~CRM]
恶棍 [~CRM]
匪徒 [~CRM]
抢劫犯 [~CRM]
恐怖分子 [~CRM]
毒贩 [~CRM]
有组织犯罪 [~CRM]
歹徒 [~CRM]
恋童癖者 [~CRM]
恋童癖者 [~CRM]
儿童捕食者 [~CRM]
肇事者 [~CRM]
扒手 [~CRM]
偷窃者 [~CRM]
海盗 [~CRM]
强奸犯 [~CRM]
强奸犯 [~CRM]
强盗 [~CRM]
谣言者 [~CRM]
骗子 [~CRM]
安全断路器 [~CRM]
保险柜 [~CRM]
劫匪 [~CRM]
海上漫游者号 [~CRM]
连环杀手 [~CRM]
连环杀人凶手 [~CRM]
扒手 [~CRM]
走私犯 [~CRM]
抢夺者 [~CRM]
偷窃贼 [~CRM]
告密者 [~CRM]
疯狂杀手 [~CRM]
粘人 [~CRM]
小偷 [~CRM]
贩卖者 [~CRM]
贩卖者 [~CRM]
收养群体 [~CVL]
客机 [~CVL]
运动员 [~CVL]
背包客 [~CVL]
总工程师 [~CVL]
孩子 [~CVL]
儿童 [~CVL]
公民 [~CVL]
公民团体 [~CVL]
平民 [~CVL]
市民社会 [~CVL]
殖民者 [~CVL]
商用喷气式飞机 [~CVL]
社区 [~CVL]
成分 [~CVL]
顾客 [~CVL]
选举人 [~CVL]
选民 [~CVL]
工程师 [~CVL]
族群 [~CVL]
少数民族 [~CVL]
少数民族 [~CVL]
短途旅行者 [~CVL]
女孩 [~CVL]
徒步旅行者 [~CVL]
猎人 [~CVL]
移民 [~CVL]
土著居民 [~CVL]
婴儿 [~CVL]
喷气客机 [~CVL]
地主 [~CVL]
地主 [~CVL]
移民 [~CVL]
外来务工人员 [~CVL]
暴民 [~CVL]
母亲 [~CVL]
哀悼者 [~CVL]
本地人 [~CVL]
土著人 [~CVL]
归化的 [~CVL]
邻域 [~CVL]
邻里关系 [~CVL]
非战斗人员 [~CVL]
非战斗人员 [~CVL]
非本土的 [~CVL]
非居民 [~CVL]
旁观者 [~CVL]
乘客 [~CVL]
客机 [~CVL]
客运飞机Pas14.01.27：原始内容废弃：历史原始记录的附件：Given Malayiastuf，我认为这是“宣誓保留”。 [~CVL]人口 [~CVL]
私人公民 [~CVL]
财产所有人 [~CVL]
乌合之众 [~CVL]
遣返 [~CVL]
居民 [~CVL]
首都居民 [~CVL]
科学家 [~CVL]
结算 [~CVL]
店主 [~CVL]
观光者 [~CVL]
贫民窟居民 [~CVL]
小城镇 [~CVL]
纳税人 [~CVL]
承租人 [~CVL]
穷人 [~CVL]
旅游者 [~CVL]
旅游者 [~CVL]
城里人 [~CVL]
市民 [~CVL]
旅行者 [~CVL]
旅行者 [~CVL]
受害者 [~CVL]
受害者 [~CVL]
村民 [~CVL]
村落 [~CVL]
选民 [~CVL]
女性编码的可能性。这是暂时性的。 [~CVL]女人 [~CVL]人 [~PPL]
男人 [~PPL]
人 [~PPL]
人 [~PPL]
学术的 [~EDU]
院士 [~EDU]
学院 [~EDU]
大学生 [~EDU]
音乐学院 [~EDU]
院长 [~EDU]
博士研究生 [~EDU]
博士生 [~EDU]
经济专家 [~EDU]
经济学家 [~EDU]
受教育者 [~EDU]
教育机构 [~EDU]
教育家 [~EDU]
校长 [~EDU]
高中 [~EDU]
高中生 [~EDU]
历史学家 [~EDU]
知识分子 [~EDU]
幼儿园 [~EDU]
幼儿园 [~EDU]
幼儿园教师 [~EDU]
讲师 [~EDU]
中学 [~EDU]
中学教师 [~EDU]
就学前的 [~EDU]
教授 [~EDU]
名誉教授 [~EDU]
瞳孔 [~EDU]
研究机构 [~EDU]
学者 [~EDU]
学校 [~EDU]
校舍 [~EDU]
中小学教师 [~EDU]
科学大会 [~EDU]
社会学家 [~EDU]
学生 [~EDU]
学生和教授 [~EDU]
学生和老师 [~EDU]
教师 [~EDU]
大学 [~EDU]
州立大学 [~EDU]
一年级学生 [~EDU]
二年级学生 [~EDU]
第三平地机 [~EDU]
第四平地机 [~EDU]
第五平地机 [~EDU]
第六平地机 [~EDU]
第七平地机 [~EDU]
第八平地机 [~EDU]
第九平地机 [~EDU]
第十平地机 [~EDU]
第十一平地机 [~EDU]
第十二平地机 [~EDU]
演员 [~ELI]
第一家庭 [~ELI]
第一夫人 [~ELI]
前总理 [~ELI]
前总统 [~ELI]
名誉领事 [~ELI]
退休了 [~ELI]
贵宾 [~ELI]
自然保护论者 [~ENV]
环境部 [~ENV}
生态学家 [~ENV]
生态勇士 [~ENV]
环境保护主义者 [~ENV]
绿党不应该做这种事，但还没有。 [~ENV]树抱器 [~ENV]
野生动物保护主义者 [~ENV]
管理 [~GOV]
行政机关 [~GOV]
行政官员 [~GOV]
行政单位 [~GOV]
咨询委员会 [~GOV]
总检察官 [~GOVJUD]
农业和灌溉部 [~GOVAGR]
农业部长 [~GOVAGR]
农业部长 [~GOVAGR]
大使 [~GOV]
大使 [~GOV]
大使 [~GOV]
大使 [~GOV]
畜牧和水产部长 [~GOVAGR]
反贪污委员会 [~GOV]
工会的集会 [~GOV]
原子能委员会 [~GOV]
司法部长 [~GOV]
审计长 [~GOV]
权威 [~GOV]
独裁者 [~GOV]
内阁会议 [~GOV]
银行控制部 [~GOVBUS]
边境贸易部 [~GOVBUS]
广播小型机 [~GOVMED]
官僚主义 [~GOV]
官僚 [~GOV]
特别调查局 [~GOVCOP]
特种作战局 [~GOVSPY]
橱柜 [~GOV]
内阁部长 [~GOV]
部长内阁 [~GOV]
内阁秘书 [~GOV]
看守人管理 [~GOV]
看守政府 [~GOV]
中央银行 [~GOVBUS]
中央银行行长 [~GOVBUS]
中央戒毒委员会 [~GOV]
中央选举委员会 [~GOV]
中央选举委员会 [~GOV]
部长会议主席 [~GOV]
总理府 [~GOV]
总理 [~GOV]
代办费 [~GOV]
首席执行官 [~GOV]
首席部长 [~GOV]
国防参谋长 [~GOVMIL]
选举委员会主任 [~GOV]
参谋长 [~GOV]
国家元首 [~GOV]
城市管理者 [~GOV]
市市长 [~GOV]
民事权威 [~GOV]
民航处 [~GOV]
民航局长 [~GOV]
民航官员 [~GOV]
民航工作人员 [~GOV]
民防部 [~GOVMIL]
民防部长 [~GOVMIL]
民防秘书 [~GOVMIL]
文官 [~GOV]
公务员 [~GOV]
文官服务 [~GOV]
执政党联盟 [~GOV]
商务部 [~GOV]
商业明尼苏达 [~GOV]
商务部长 [~GOV]
药物滥用管制委员会 [~GOV]
国家委员会 [~GOV]
交通局 [~GOVMED]
组成组件 [~GOV]
宪法单胞菌 [~GOV]
建筑部 [~GOVDEV]
领事馆 [~GOV]
领事 [~GOV]
总领事 [~GOV]
总领事馆 [~GOV]
合作部长 [~GOV]
部长会议 [~GOV]
国务院 [~GOV]
审计法院 [~GOV]
王储 [~GOV]
海关官员 [~GOV]
国防民兵 [~GOVMIL]
国防部长 [~GOVMIL]
国防部 [~GOVMIL]
国防民兵 [~GOVMIL]
国防部长 [~GOVMIL]
国防服务 [~GOVMIL]
礼宾部 [~GOV]
农业部 [~GOVAGR]
银行控制部 [~GOVBUS]
边境贸易部 [~GOVBUS]
民航部 [~GOV]
民防部 [~GOVMIL]
商务部 [~GOVBUS]
国防部 [~GOVMIL]
教育部 [~GOVEDU]
环境部 [~GOVENV]
环境部 [~GOVENV]
环境质量部 [~GOVENV]
外交部 [~GOV]
礼宾部 [~GOV]
财政部 [~GOV]
旅游部 [~GOV]
交通运输部 [~GOV]
农业部 [~GOVAGR]
旅游系 [~GOV]
副总理 [~GOV]
专制君主 [~GOV]
发展理事会 [~GOVDEV]
独裁者 [~GOV]
外交大楼 [~GOV]
外交大楼 [~GOV]
外交官 [~GOV]
总干事 [~GOV]
民航局局长 [~GOV]
国防情报局局长 [~GOVMIL]
灾害管理和救灾部 [~GOV]
灾害管理部 [~GOV]
地区专员 [~GOV]
经济侏儒 [~GOV]
经济部长 [~GOV]
教育部 [~GOVEDU]
教育部长 [~GOVEDU]
教育官员 [~GOVEDU]
教育部长 [~GOVEDU]
选举委员会 [~GOV]
选举委员会委员 [~GOV]
选举委员会 [~GOV]
选举投诉委员会 [~GOV]
电力局 [~GOV]
大使馆 [~GOV]
大使馆 [~GOV]
使者 [~GOV]
帝 [~GOV]
皇后 [~GOV]
能源矿工 [~GOV]
能源部长 [~GOV]
耳鼻喉科部长 [~GOV]
环境保护局有州政府，而不仅仅是美国环保局 [~ENV]环境部 [~GOVENV]
使节 [~GOV]
特使 [~GOV]
执行部门 [~GOVMIL]
外事部 [~GOV]
外交部长 [~GOV]
对外关系部 [~GOV]
联邦总理 [~GOV]
财政管理部 [~GOV]
金融学家 [~GOV]
财务官员 [~GOV]
财政部长 [~GOV]
财政司司长 [~GOV]
消防队员 [~GOV]
消防员 [~GOV]
消防队 [~GOV]
消防队官员 [~GOV]
消防队长 [~GOV]
消防公司 [~GOV]
消防部门 [~GOV]
消防员 [~GOV]
消防队长 [~GOV]
消防服务 [~GOV]
消防管理员 [~GOV]
渔业和牲畜部 [~GOVAGR]
食品和灾害管理与救济部 [~GOV]
食品和灾害管理部 [~GOV]
食品管理员 [~GOV]
外交部长 [~GOV]
外交部 [~GOV]
外交大楼 [~GOV]
外国使馆 [~GOV]
外商投资委员会 [~GOV]
外交部长 [~GOV]
外事办公室 [~GOV]
外交关系委员会 [~GOV]
外交部长 [~GOV]
外交部长 [~GOV]
法律与秩序概述 [~GOV]
地质勘查及其矿产勘查部门 [~GOV]
治理 [~GOV]
执政党 [~GOV]
政府 [~GOV]
政府委员会 [~GOV]
政府代表团 [~GOV]
政府雇主 [~GOVBUS]
政府立法者 [~GOVPTY]
政府官员 [~GOV]
政府组织 [~GOV]
政府代表 [~GOV]
政府运营公司 [~GOVBUS]
政府发言人 [~GOV]
调速器 [~GOV]
总督 [~GOV]
政府首脑 [~GOV]
国家元首 [~GOV]
卫生与家庭部 [~GOVHLH]
卫生部 [~GOVHLH]
卫生学家 [~GOVHLH]
卫生官员 [~GOVHLH]
卫生人员 [~GOVHLH]
高等教育部 [~GOVEDU]
高级官员 [~GOV]
高佣金 [~GOV]
高官 [~GOV]
高级官员 [~GOV]
高级官员 [~GOV]
内政部长 [~GOV]
家庭和宗教事务部 [~GOVREL]
内政部长 [~GOV]
住房和公共工程部长 [~GOV]
人权委员会 [~GOVHRI]
移民部长 [~GOV]
工业部长 [~GOVBUS]
工业部长 [~GOVBUS]
信息文化部长 [~GOVMED]
新闻委员会 [~GOVMED]
新闻部长 [~GOVMED]
信息办公室 [~GOVMED]
总检察长 [~GOVCOP]
临时政府 [~GOV]
临时领导人 [~GOV]
临时主席 [~GOV]
内政部长 [~GOV]
内政部长 [~GOV]
调查委员会 [~GOV]
投资委员会 [~GOV]
灌溉部长 [~GOVAGR]
军政府 [~GOV]
军政府首脑 [~GOV]
司法部长 [~GOV]
黄麻纺织部长 [~GOV]
王国 [~GOV]
国王 [~GOV]
劳动就业部长 [~GOVLAB]
劳动部 [~GOVLAB]
劳工部长 [~GOVLAB]
劳工部长 [~GOVLAB]
劳工部长 [~GOVLAB]
法律、司法和议会事务部长 [~GOV]
法律部长 [~GOV]
法律干事 [~GOV]
小精灵 [~GOV]
家畜管理局 [~GOVAGR]
畜牧和渔业部长 [~GOVAGR]
当地药物管制当局 [~GOV]
地方政府、农村发展和合作社部长 [~GOVDEV]
人力部部长 [~GOVLAB]
市长 [~GOV]
医务人员 [~GOVHLH]
气象部门 [~GOV]
军事支持的政府 [~GOV]
军事独裁者 [~GOVMIL]
军事政府 [~GOVMIL]
军政府 [~GOVMIL]
军事政权 [~GOVMIL]
军事统治 [~GOVMIL]
矿业部长 [~GOV]
矿山官员 [~GOV]
部长 [~GOV]
奥布拉斯部长 [~GOV]
青年体育部 [~GOV]
农业、渔业和食品部 [~GOVAGR]
农业部 [~GOVAGR]
畜牧和水产部 [~GOVAGR]
动物资源部 [~GOVAGR]
民政部 [~GOVMIL]
商务部 [~GOV]
通信部 [~GOVMED]
通信能源和自然资源部 [~GOV]
通信部 [~GOVMED]
传播和文化部 [~GOVMED]
通信和信息技术部 [~GOV]
建设部 [~GOVDEV]
国防部长 [~GOVMIL]
国防部长 [~GOVMIL]
灾害管理部 [~GOV]
国内贸易部长 [~GOV]
经济事务部 [~GOV]
经济事务和财政部 [~GOV]
经济部 [~GOV]
经济和金融部 [~GOV]
经济和规划部 [~GOV]
经济和公共财政部 [~GOV]
教育部 [~GOVEDU]
教育和科学部 [~GOVEDU]
电力部 [~GOV]
就业和职业培训部 [~GOVLAB]
能源部 [~GOV]
环境部 [~GOVENV]
环境部 [~ENV]环境部长 [~ENV]
环境部 [~ENV]
设备部 [~GOVDEV]
对外关系部 [~GOV]
财政部 [~GOV]
金融服务部 [~GOV]
渔业部 [~GOVAGR]
食品部 [~GOV]
外交部 [~GOV]
政府部长 [~GOV]
卫生部 [~GOVHLH]
高等教育部 [~GOVEDU]
家庭事务部 [~GOV]
内政部长 [~GOV]
内政和宗教事务部 [~GOVREL]
住房部 [~GOV]
碳氢化合物部 [~GOVENV]
工业部 [~GOVBUS]
信息部 [~GOVMED]
基础设施部 [~GOVDEV]
室内部部长 [~GOV]
内务部长 [~GOV]
国际合作部 [~GOV]
国际发展部 [~GOVDEV]
国际贸易部长 [~GOV]
灌溉部 [~GOVAGR]
司法部长 [~GOV]
黄麻和纺织品部 [~GOV]
劳工部 [~GOVLAB]
劳工部部长 [~GOVLAB]
土地、住房和城市发展部 [~GOV]
国土部 [~GOV]
法律部长 [~GOV]
家畜部 [~GOVAGR]
地方政府部长 [~GOVDEV]
材料部 [~GOV]
矿产资源部 [~GOVENV]
矿业部 [~GOV]
矿业和能源部 [~GOV]
国防部长 [~GOVMIL]
国家发展部 [~GOVDEV]
国民经济部 [~GOV]
国家教育部 [~GOVEDU]
国家规划和经济发展部 [~GOVDEV]
自然资源部 [~GOVENV]
自然资源和环境部 [~GOVENV]
非政府组织部长 [~GOV]
石油部长 [~GOV]
石油部 [~GOV]
规划部 [~GOVDEV]
规划和发展部 [~GOVDEV]
邮电部 [~GOVMED]
总统事务部 [~GOV]
生产部 [~GOVBUS]
进步部长 [~GOV]
公共卫生部 [~GOVHLH]
公共卫生和社会福利部 [~GOVHLH]
公共服务部 [~GOVDEV]
公共服务和行政改革部 [~GOVDEV]
公共事业部 [~GOV]
公共工程部 [~GOV]
铁路运输部 [~GOVMED]
区域合作部长 [~GOV]
区域发展部 [~GOV]
宗教事务部 [~GOVREL]
道路和运输部 [~GOV]
农村发展部 [~GOVDEV]
科学部 [~GOV]
保安部 [~GOV]
航运部 [~GOV]
社会行动和国家团结部 [~GOV]
社会事务和劳工部 [~GOVLAB]
社会福利部 [~GOVHLH]
部落人民特别事务部 [~GOV]
特别事务部 [~GOV]
体育部 [~GOV]
国家部长 [~GOV]
国家规划部 [~GOVDEV]
电信部 [~GOVMED]
领土管理部 [~GOV]
纺织品部 [~GOV]
司法部长部长部长 [~GOV]
公务员事务司 [~GOV]
环境部 [~GOVENV]
财政管理部 [~GOV]
内政部部长 [~GOV]
总统事务部长 [~GOV]
财政部部长 [~GOV]
旅游部 [~GOV]
贸易部长 [~GOV]
运输部 [~GOVMED]
交通运输部 [~GOVMED]
退伍军人事务部 [~GOVDEV]
水务部 [~GOV]
福利部 [~GOVHLH]
妇女事务部长 [~GOVHRI]
工程部 [~GOV]
青年、体育和娱乐部 [~GOV]
青年体育部 [~GOV]
秘书长 [~GOV]
青年体育部 [~GOV]
农业部 [~GOVAGR]
畜牧水产部 [~GOVAGR]
动物资源部 [~GOVAGR]
预算部 [~GOV]
城市部 [~GOV]
民政部长 [~GOVMIL]
民航部长 [~GOV]
商务部 [~GOV]
通信部长 [~GOVMED]
通信部长 [~GOVMED]
传播文化部 [~GOVMED]
通信和信息技术部 [~GOV]
建设部 [~GOVDEV]
禁毒部长 [~GOV]
国防部长 [~GOVMIL]
国防部长 [~GOVMIL]
灾害管理部长 [~GOV]
国内贸易部长 [~GOV]
经济事务部 [~GOV]
经济事务和财政部长 [~GOV]
经济部 [~GOV]
经济金融部 [~GOV]
经济和规划部 [~GOV]
经济和公共财政部长 [~GOV]
教育部 [~GOVEDU]
电力部长 [~GOV]
就业和职业培训部 [~GOVLAB]
能源部 [~GOV]
环境部 [~GOVENV]
设备部 [~GOVDEV]
欧洲事务部长 [~GOV]
欧盟事务部长 [~GOV]
对外关系部长 [~GOV]
财政部长 [~GOV]
金融服务部 [~GOV]
渔业部 [~GOVAGR]
食品部长 [~GOV]
外交部长 [~GOV]
外交部部长 [~GOV]
性别和青年、体育和娱乐部 [~GOV]
政府部长 [~GOV]
卫生部 [~GOVHLH]
高等教育部长 [~GOVEDU]
内政部长 [~GOV]
住房部部长 [~GOV]
人类发展部 [~GOVDEV]
人类发展和社会转型部 [~GOVDEV]
碳氢化合物部 [~GOVENV]
碳氢化合物和能源部 [~GOV]
工业部长 [~GOVBUS]
工贸部 [~GOVBUS]
信息部 [~GOVMED]
基础设施部 [~GOVDEV]
内政部长 [~GOV]
内务部长 [~GOV]
国际合作部长 [~GOV]
国际贸易部长 [~GOV]
灌溉部 [~GOVAGR]
司法部长 [~GOV]
黄麻纺织部 [~GOV]
劳工部部长 [~GOVLAB]
劳工部部长 [~GOVLAB]
土地、住房和城市发展部 [~GOV]
国土部 [~GOV]
法律部长 [~GOV]
国家法律辩护部 [~GOV]
家畜部 [~GOVAGR]
地方政府部长 [~GOVDEV]
材料部 [~GOV]
矿产资源部 [~GOVENV]
矿业部 [~GOV]
矿业和能源部 [~GOV]
国防部长 [~GOVMIL]
国家发展部 [~GOVDEV]
国民经济部长 [~GOV]
国家教育部长 [~GOVEDU]
国家一体化部长 [~GOV]
国家规划和经济发展部 [~GOVDEV]
国家安全部长 [~GOVMIL]
自然资源部 [~GOVENV]
自然资源和环境部 [~GOVENV]
非政府组织部长 [~GOV]
石油部长 [~GOV]
石油能源部 [~GOV]
石油部长 [~GOV]
规划部 [~GOVDEV]
规划和发展部 [~GOVDEV]
邮电部 [~GOVMED]
总统事务部长 [~GOV]
生产部 [~GOVBUS]
公共卫生部 [~GOVHLH]
公共卫生和社会福利部 [~GOVHLH]
公共服务部 [~GOVDEV]
公共服务和行政改革部长 [~GOVDEV]
公用事业部长 [~GOV]
公共工程部 [~GOV]
公共工程服务和住房部 [~GOV]
矿石和冶炼部 [~GOV]铁路运输部长 [~GOVMED]
重建部 [~GOV]
区域合作部长 [~GOV]
宗教事务部长 [~GOVREL]
道路运输部 [~GOV]
农村发展部 [~GOVDEV]
科学部 [~GOV]
安全部部长 [~GOV]
航运部长 [~GOV]
社会行动和国家团结部 [~GOV]
社会事务和劳工部 [~GOVLAB]
社会福利部 [~GOVHLH]
体育部部长 [~GOV]
体育和青年部 [~GOV]
体育和青年事务部 [~GOV]
体育青年部长 [~GOV]
国家部长 [~GOV]
国家规划部 [~GOVDEV]
电信部 [~GOVMED]
领土管理部长 [~GOV]
纺织品部 [~GOV]
司法部长部长 [~GOV]
环境部长 [~GOVENV]
财政管理部 [~GOV]
总秘书处部长 [~GOV]
内政部长 [~GOV]
总统的部长 [~GOV]
财政部部长 [~GOV]
旅游部 [~GOV]
贸易部长 [~GOV]
运输部 [~GOVMED]
退伍军人事务部 [~GOVDEV]
水资源部 [~GOV]
水利灌溉部 [~GOV]
福利部 [~GOVHLH]
妇女部长 [~GOVHRI]
工程部 [~GOV]
青年、体育和娱乐部 [~GOV]
青年体育部 [~GOV]
部长和议员 [~GOV]
国家部长 [~GOV]
全权部长 [~GOV]
无投资组合部长 [~GOV]
部 [~GOV]
部代表团 [~GOV]
联合国特派团 [~GOV]
君主 [~GOV]
执政党议员 [~GOV]
国家航空公司 [~GOVBUS]
国家银行 [~GOVBUS]
国家税务局 [~GOV]
国家发展委员会 [~GOVDEV]
国家经济委员会 [~GOVBUS]
国家教育委员会 [~GOVEDU]
全国选举委员会 [~GOV]
国家卫生委员会 [~GOVHLH]
国家投资委员会 [~GOVBUS]
国家通讯社 [~GOVMED]
国家营养委员会 [~GOVHLH]
国家规划和经济发展部长 [~GOVDEV]
国家安全顾问 [~GOVMIL]
国家安全顾问 [~GOVMIL]
国家安全主管 [~GOVMIL]
国家安全委员会 [~GOVMIL]
国家安全办公室 [~GOVMIL]
中立看守政府 [~GOV]
非政府组织部长 [~GOV]
非政府组织部长 [~GOV]
核能委员会 [~GOV]
总领事馆 [~GOV]
高级委员会办公室 [~GOV]
非代表性办公室 [~GOV]
官方通讯社 [~GOVMED]
官方消息来源 [~GOV]
宫廷 [~GOV]
至高无上的统治者 [~GOV]
专利局 [~GOVBUS]
人民银行 [~GOVBUS]
人民委员会 [~GOV]
人民银行 [~GOVBUS]
常驻联合国代表 [~GOV]
石油部长 [~GOV]
规划委员会 [~GOV]
政治局 [~GOV]
政治局委员 [~GOV]
政体 [~GOV]
